ID,Name,Description,FDN_Fund,ChainID,FDN_Industry
1,Income ETF Portfolio 001,Portfolio 001 designed for conservative investment objectives.,17,33183,Software Development
2,Growth Alternative Portfolio 002,Portfolio 002 designed for conservative investment objectives.,29,51670,Healthcare
3,Income Alternative Portfolio 003,Portfolio 003 designed for aggressive investment objectives.,40,39864,Healthcare
4,Value Index Portfolio 004,Portfolio 004 designed for aggressive investment objectives.,22,60151,Construction
5,Aggressive Alternative Portfolio 005,Portfolio 005 designed for value investment objectives.,3,92656,Construction
6,Aggressive ETF Portfolio 006,Portfolio 006 designed for aggressive investment objectives.,29,49048,Construction
7,Income Alternative Portfolio 007,Portfolio 007 designed for aggressive investment objectives.,19,63201,Construction
8,Value Index Portfolio 008,Portfolio 008 designed for conservative investment objectives.,3,28074,Software Development
9,Balanced ETF Portfolio 009,Portfolio 009 designed for conservative investment objectives.,32,80804,eCommerce
10,Income Equity Portfolio 010,Portfolio 010 designed for growth investment objectives.,7,16217,eCommerce
11,Conservative ETF Portfolio 011,Portfolio 011 designed for conservative investment objectives.,29,53364,Healthcare
12,Income Bond Portfolio 012,Portfolio 012 designed for aggressive investment objectives.,13,53777,Software Development
13,Value Bond Portfolio 013,Portfolio 013 designed for aggressive investment objectives.,9,16956,Software Development
14,Growth Bond Portfolio 014,Portfolio 014 designed for growth investment objectives.,30,68394,eCommerce
15,Value Equity Portfolio 015,Portfolio 015 designed for value investment objectives.,39,68239,Healthcare
16,Aggressive Bond Portfolio 016,Portfolio 016 designed for income investment objectives.,36,46267,Healthcare
17,Growth Alternative Portfolio 017,Portfolio 017 designed for aggressive investment objectives.,4,16569,Construction
18,Income Equity Portfolio 018,Portfolio 018 designed for growth investment objectives.,23,61573,Software Development
19,Income Bond Portfolio 019,Portfolio 019 designed for income investment objectives.,38,57199,Construction
20,Growth Alternative Portfolio 020,Portfolio 020 designed for aggressive investment objectives.,24,68849,eCommerce
21,Value Equity Portfolio 021,Portfolio 021 designed for growth investment objectives.,2,91248,eCommerce
22,Conservative Index Portfolio 022,Portfolio 022 designed for conservative investment objectives.,15,53982,Software Development
23,Conservative ETF Portfolio 023,Portfolio 023 designed for conservative investment objectives.,5,56194,Construction
24,Aggressive Equity Portfolio 024,Portfolio 024 designed for balanced investment objectives.,4,20493,Software Development
25,Growth Multi-Asset Portfolio 025,Portfolio 025 designed for growth investment objectives.,1,57739,eCommerce
26,Aggressive Multi-Asset Portfolio 026,Portfolio 026 designed for balanced investment objectives.,26,62044,Healthcare
27,Growth Index Portfolio 027,Portfolio 027 designed for aggressive investment objectives.,19,30900,Construction
28,Value Multi-Asset Portfolio 028,Portfolio 028 designed for value investment objectives.,40,36999,Finance
29,Income Bond Portfolio 029,Portfolio 029 designed for balanced investment objectives.,14,83999,eCommerce
30,Aggressive Multi-Asset Portfolio 030,Portfolio 030 designed for conservative investment objectives.,20,33956,Software Development
31,Growth Bond Portfolio 031,Portfolio 031 designed for conservative investment objectives.,1,11275,Finance
32,Value Bond Portfolio 032,Portfolio 032 designed for growth investment objectives.,14,87865,Healthcare
33,Balanced Alternative Portfolio 033,Portfolio 033 designed for aggressive investment objectives.,38,14458,Software Development
34,Growth Multi-Asset Portfolio 034,Portfolio 034 designed for growth investment objectives.,8,80889,Finance
35,Value Alternative Portfolio 035,Portfolio 035 designed for value investment objectives.,1,53687,Software Development
36,Growth Equity Portfolio 036,Portfolio 036 designed for conservative investment objectives.,18,52539,Software Development
37,Growth Alternative Portfolio 037,Portfolio 037 designed for growth investment objectives.,23,24043,Software Development
38,Growth ETF Portfolio 038,Portfolio 038 designed for aggressive investment objectives.,9,15571,eCommerce
39,Aggressive Index Portfolio 039,Portfolio 039 designed for balanced investment objectives.,3,74668,eCommerce
40,Growth Index Portfolio 040,Portfolio 040 designed for aggressive investment objectives.,14,92436,Healthcare
41,Aggressive Bond Portfolio 041,Portfolio 041 designed for value investment objectives.,28,50563,Healthcare
42,Balanced Index Portfolio 042,Portfolio 042 designed for income investment objectives.,3,13611,Healthcare
43,Aggressive Index Portfolio 043,Portfolio 043 designed for aggressive investment objectives.,33,97304,Healthcare
44,Aggressive ETF Portfolio 044,Portfolio 044 designed for growth investment objectives.,40,88654,Finance
45,Value Index Portfolio 045,Portfolio 045 designed for aggressive investment objectives.,19,23332,Healthcare
46,Growth ETF Portfolio 046,Portfolio 046 designed for aggressive investment objectives.,5,40614,Construction
47,Value Index Portfolio 047,Portfolio 047 designed for growth investment objectives.,5,23071,Healthcare
48,Aggressive ETF Portfolio 048,Portfolio 048 designed for income investment objectives.,35,20922,eCommerce
49,Growth Index Portfolio 049,Portfolio 049 designed for value investment objectives.,20,23122,Software Development
50,Conservative Index Portfolio 050,Portfolio 050 designed for income investment objectives.,40,70646,Healthcare
51,Growth Bond Portfolio 051,Portfolio 051 designed for value investment objectives.,7,76520,Finance
52,Conservative Index Portfolio 052,Portfolio 052 designed for aggressive investment objectives.,15,60842,Finance
53,Growth Multi-Asset Portfolio 053,Portfolio 053 designed for growth investment objectives.,22,22419,Construction
54,Aggressive Multi-Asset Portfolio 054,Portfolio 054 designed for income investment objectives.,40,88777,Finance
55,Value Multi-Asset Portfolio 055,Portfolio 055 designed for balanced investment objectives.,40,12503,eCommerce
56,Growth ETF Portfolio 056,Portfolio 056 designed for value investment objectives.,12,28654,Software Development
57,Growth Alternative Portfolio 057,Portfolio 057 designed for conservative investment objectives.,35,53061,Healthcare
58,Value Index Portfolio 058,Portfolio 058 designed for income investment objectives.,23,48657,Software Development
59,Aggressive Alternative Portfolio 059,Portfolio 059 designed for conservative investment objectives.,23,68351,Healthcare
60,Growth Index Portfolio 060,Portfolio 060 designed for conservative investment objectives.,16,99388,Healthcare
61,Income ETF Portfolio 061,Portfolio 061 designed for balanced investment objectives.,24,60995,Construction
62,Aggressive ETF Portfolio 062,Portfolio 062 designed for balanced investment objectives.,37,17075,Construction
63,Value Equity Portfolio 063,Portfolio 063 designed for conservative investment objectives.,22,33219,Construction
64,Conservative Multi-Asset Portfolio 064,Portfolio 064 designed for balanced investment objectives.,10,32045,Software Development
65,Aggressive Multi-Asset Portfolio 065,Portfolio 065 designed for conservative investment objectives.,3,93079,Software Development
66,Growth Multi-Asset Portfolio 066,Portfolio 066 designed for value investment objectives.,24,13118,Finance
67,Growth Index Portfolio 067,Portfolio 067 designed for income investment objectives.,25,63231,Healthcare
68,Growth Alternative Portfolio 068,Portfolio 068 designed for aggressive investment objectives.,5,91393,eCommerce
69,Conservative ETF Portfolio 069,Portfolio 069 designed for income investment objectives.,3,58621,eCommerce
70,Balanced Equity Portfolio 070,Portfolio 070 designed for value investment objectives.,4,40645,Construction
71,Income Multi-Asset Portfolio 071,Portfolio 071 designed for value investment objectives.,27,51304,eCommerce
72,Aggressive Index Portfolio 072,Portfolio 072 designed for balanced investment objectives.,32,45133,Finance
73,Growth Equity Portfolio 073,Portfolio 073 designed for value investment objectives.,37,20899,Finance
74,Aggressive Bond Portfolio 074,Portfolio 074 designed for income investment objectives.,37,99468,Finance
75,Value Bond Portfolio 075,Portfolio 075 designed for growth investment objectives.,1,33216,Construction
76,Value Index Portfolio 076,Portfolio 076 designed for balanced investment objectives.,2,10085,eCommerce
77,Growth Multi-Asset Portfolio 077,Portfolio 077 designed for aggressive investment objectives.,26,20838,Finance
78,Growth Index Portfolio 078,Portfolio 078 designed for balanced investment objectives.,37,97406,Software Development
79,Income ETF Portfolio 079,Portfolio 079 designed for growth investment objectives.,28,27725,Healthcare
80,Balanced Bond Portfolio 080,Portfolio 080 designed for value investment objectives.,36,33886,Software Development
81,Balanced Bond Portfolio 081,Portfolio 081 designed for value investment objectives.,4,67375,Finance
82,Income Equity Portfolio 082,Portfolio 082 designed for growth investment objectives.,5,51123,Finance
83,Value Index Portfolio 083,Portfolio 083 designed for balanced investment objectives.,35,84172,Construction
84,Value Multi-Asset Portfolio 084,Portfolio 084 designed for conservative investment objectives.,25,56837,eCommerce
85,Aggressive Index Portfolio 085,Portfolio 085 designed for balanced investment objectives.,29,17801,Software Development
86,Balanced Bond Portfolio 086,Portfolio 086 designed for conservative investment objectives.,31,11386,Construction
87,Value ETF Portfolio 087,Portfolio 087 designed for aggressive investment objectives.,17,30697,Healthcare
88,Value Multi-Asset Portfolio 088,Portfolio 088 designed for income investment objectives.,3,64746,Software Development
89,Value Equity Portfolio 089,Portfolio 089 designed for value investment objectives.,16,16655,Software Development
90,Aggressive Alternative Portfolio 090,Portfolio 090 designed for aggressive investment objectives.,31,20346,Construction
91,Income Multi-Asset Portfolio 091,Portfolio 091 designed for aggressive investment objectives.,33,51878,Software Development
92,Conservative Equity Portfolio 092,Portfolio 092 designed for growth investment objectives.,18,24548,Healthcare
93,Income Multi-Asset Portfolio 093,Portfolio 093 designed for aggressive investment objectives.,9,54205,Software Development
94,Income Alternative Portfolio 094,Portfolio 094 designed for income investment objectives.,14,38127,Construction
95,Balanced Bond Portfolio 095,Portfolio 095 designed for conservative investment objectives.,13,33998,eCommerce
96,Aggressive Bond Portfolio 096,Portfolio 096 designed for balanced investment objectives.,37,55485,eCommerce
97,Aggressive Equity Portfolio 097,Portfolio 097 designed for value investment objectives.,19,95809,Finance
98,Value Equity Portfolio 098,Portfolio 098 designed for conservative investment objectives.,20,99965,Software Development
99,Aggressive Index Portfolio 099,Portfolio 099 designed for income investment objectives.,38,99966,Healthcare